	brand	km_driven	fuel	owner	selling_price
232	Nissan	80000	Petrol	First Owner	300000
233	Maruti	140000	Petrol	First Owner	350000
234	Mahindra	70000	Diesel	First Owner	900000
235	Mahindra	120000	Diesel	Second Owner	300000
236	Maruti	110000	Diesel	Second Owner	250000
237	Hyundai	37000	Diesel	First Owner	1100000
238	Renault	44000	Petrol	First Owner	270000
239	Maruti	80000	Diesel	First Owner	640000
240	Mahindra	125000	Diesel	First Owner	650000
241	Maruti	13500	Petrol	First Owner	409999
242	Hyundai	75000	Petrol	First Owner	165000
243	Hyundai	120000	Petrol	Second Owner	80000
244	Mahindra	120000	Diesel	First Owner	535000
245	Toyota	70000	Diesel	First Owner	700000
246	Maruti	70000	Diesel	First Owner	550000
247	Honda	15000	Petrol	First Owner	680000
248	Hyundai	53000	Petrol	Second Owner	200000
249	Maruti	120000	Diesel	Second Owner	500000
250	Maruti	70000	Diesel	First Owner	1000000
251	Hyundai	120000	Petrol	Second Owner	110000
252	Hyundai	100000	Petrol	Second Owner	320000
253	Tata	110000	Diesel	Second Owner	75000
254	Maruti	100000	Petrol	First Owner	350000
255	Tata	162500	Diesel	First Owner	170000
256	Hyundai	39000	Diesel	First Owner	800000
257	Maruti	75000	Diesel	First Owner	500000
258	Tata	50000	Diesel	First Owner	1380000
259	Mahindra	40000	Diesel	First Owner	1300000
260	Hyundai	92500	Diesel	First Owner	530000
261	Maruti	158000	Diesel	First Owner	360000
262	Maruti	120000	Diesel	First Owner	310000
263	Honda	50000	Diesel	Second Owner	725000
264	Maruti	110000	Diesel	First Owner	340000
265	Hyundai	2000	Diesel	Second Owner	550000
266	Toyota	181000	Diesel	Second Owner	1150000
267	Tata	70000	Diesel	First Owner	380000
268	Nissan	90000	Petrol	Second Owner	350000
269	Hyundai	2000	Petrol	First Owner	610000
270	Maruti	20000	Petrol	First Owner	525000
271	Toyota	120000	Diesel	First Owner	480000
272	Mahindra	35000	Diesel	First Owner	780000
273	Maruti	193000	Diesel	First Owner	320000
274	Maruti	80000	Petrol	First Owner	375000
275	Datsun	40000	Petrol	First Owner	300000
276	Hyundai	70000	Diesel	Fourth & Above Owner	500000
277	Mahindra	122358	Diesel	First Owner	404000
278	Tata	75000	Diesel	First Owner	500000
279	Tata	120000	Diesel	First Owner	350000
280	Tata	40000	Petrol	First Owner	380000
281	Hyundai	95200	Petrol	Third Owner	114999
282	Honda	33033	Petrol	First Owner	335000
283	Hyundai	63063	Petrol	First Owner	465000
284	Tata	60000	Diesel	First Owner	290000
285	Maruti	45000	Petrol	Second Owner	110000
286	Tata	80000	Diesel	Third Owner	450000
287	Mahindra	170000	Diesel	Second Owner	400000
288	Mahindra	207890	Diesel	Second Owner	210000
289	Mercedes-Benz	7976	Diesel	First Owner	4600000
290	Maruti	35000	Petrol	First Owner	220000
291	Hyundai	35000	Petrol	First Owner	450000
292	Hyundai	35000	Petrol	First Owner	450000
293	Hyundai	50000	Petrol	First Owner	290000
294	Maruti	20000	Petrol	First Owner	520000
295	Hyundai	20000	Petrol	First Owner	265000
296	Maruti	50000	Petrol	Second Owner	330000
297	Maruti	50000	Petrol	Second Owner	330000
298	Mahindra	120000	Diesel	First Owner	509999
299	Hyundai	70000	Petrol	First Owner	500000
300	Hyundai	50000	Petrol	First Owner	525000
301	Maruti	16500	Petrol	First Owner	675000
302	Hyundai	70000	Petrol	First Owner	300000
303	Maruti	99361	Petrol	Second Owner	90000
304	Maruti	25000	Diesel	First Owner	650000
305	Maruti	70000	Petrol	Second Owner	409000
306	Hyundai	80000	Diesel	Second Owner	395000
307	Maruti	70000	Petrol	Second Owner	215000
308	Maruti	70000	Petrol	Second Owner	400000
309	Chevrolet	60000	Petrol	Third Owner	120000
310	Tata	10000	Petrol	First Owner	645000
311	Maruti	80000	Petrol	First Owner	81000
312	Honda	30000	Diesel	First Owner	1300000
313	Honda	33000	Diesel	First Owner	1250000
314	Maruti	90000	Petrol	Third Owner	535000
315	Nissan	80100	Diesel	Second Owner	555000
316	Honda	120000	Petrol	First Owner	725000
317	Mahindra	10000	Diesel	Third Owner	300000
318	Renault	40000	Petrol	First Owner	229999
319	Toyota	160000	Diesel	Second Owner	800000
320	Maruti	47000	Petrol	First Owner	409999
321	Hyundai	25000	Diesel	First Owner	1210000
322	Tata	26000	Petrol	First Owner	400000
323	Hyundai	29000	Diesel	First Owner	520000
324	Maruti	50000	Petrol	First Owner	650000
325	Maruti	58000	Petrol	Third Owner	325000
326	Maruti	120000	Petrol	First Owner	420000
327	Maruti	50000	Petrol	First Owner	400000
328	Hyundai	80000	Petrol	Fourth & Above Owner	254999
329	Maruti	60000	Petrol	Fourth & Above Owner	65000
330	Maruti	36000	Petrol	First Owner	351000
331	Toyota	120000	Diesel	Third Owner	404000
332	Maruti	185000	Diesel	Third Owner	185000
333	Nissan	50000	Diesel	First Owner	250000
334	Maruti	100000	Petrol	Fourth & Above Owner	60000
335	Hyundai	50000	Petrol	Second Owner	500000
336	Maruti	80000	Petrol	Second Owner	85000
337	Hyundai	60000	Petrol	Second Owner	85000
338	Maruti	80000	Petrol	Fourth & Above Owner	85000
339	Maruti	90000	Diesel	Fourth & Above Owner	265000
340	Maruti	162000	Petrol	Second Owner	130000
341	Maruti	110000	Diesel	Third Owner	480000
342	Maruti	120000	Diesel	Third Owner	170000
343	Nissan	45000	Diesel	First Owner	275000
344	Maruti	90000	Petrol	Second Owner	89000
345	Ford	90000	Diesel	Second Owner	170000
346	Mahindra	16500	Petrol	First Owner	1090000
347	Hyundai	67000	Diesel	First Owner	1100000
348	Maruti	52000	Petrol	First Owner	610000
349	Datsun	40000	Petrol	First Owner	335000
350	Hyundai	40000	Petrol	First Owner	434999
351	Toyota	35000	Diesel	First Owner	3000000
352	Renault	13000	Petrol	First Owner	390000
353	Honda	40000	Petrol	First Owner	325000
354	Volkswagen	10000	Petrol	First Owner	640000
355	Nissan	9000	Petrol	First Owner	450000
356	Toyota	70000	Diesel	Second Owner	400000
357	Hyundai	60000	Petrol	First Owner	215000
358	Renault	40000	Diesel	First Owner	570000
359	Mahindra	93000	Diesel	First Owner	680000
360	Toyota	80000	Diesel	Fourth & Above Owner	325000
361	Tata	50000	Petrol	Second Owner	150000
362	Hyundai	68000	Petrol	First Owner	690000
363	Mercedes-Benz	25000	Diesel	First Owner	1550000
364	Tata	18000	Petrol	First Owner	64000
365	Nissan	120000	Diesel	First Owner	250000
366	Maruti	35000	Petrol	First Owner	65000
367	Maruti	60000	Diesel	Second Owner	550000
368	Hyundai	70000	Petrol	Fourth & Above Owner	140000
369	Renault	30000	Petrol	First Owner	300000
370	Volkswagen	70000	Petrol	First Owner	800000
371	Jaguar	9000	Diesel	First Owner	2625000
372	Lexus	20000	Petrol	First Owner	5150000
373	Jaguar	45000	Diesel	First Owner	3200000
374	Tata	110000	Diesel	First Owner	503000
375	Volvo	20000	Diesel	First Owner	3800000
376	Toyota	68089	Petrol	First Owner	2000000
377	Maruti	58343	Petrol	First Owner	225000
378	Maruti	38817	Diesel	First Owner	740000
379	Honda	56494	Petrol	First Owner	550000
380	Toyota	79328	Diesel	Second Owner	750000
381	Maruti	5621	Petrol	First Owner	650000
382	Toyota	25538	Petrol	First Owner	625000
383	Maruti	69779	Petrol	First Owner	600000
384	Hyundai	56290	Diesel	First Owner	450000
385	BMW	7500	Diesel	First Owner	5400000
386	BMW	8500	Diesel	First Owner	5500000
387	Honda	7032	Petrol	First Owner	779000
388	Skoda	11000	Petrol	First Owner	645000
389	Volvo	2000	Diesel	First Owner	2475000
390	Hyundai	106000	Petrol	Third Owner	150000
391	Toyota	162000	Diesel	Third Owner	265000
392	Honda	120000	Petrol	Second Owner	500000
393	Maruti	90000	Diesel	First Owner	480000
394	Hyundai	70000	Diesel	Third Owner	535000
395	Toyota	240000	Diesel	Third Owner	250000
396	Maruti	100000	Diesel	Second Owner	300000
397	Hyundai	214000	Petrol	Second Owner	340000
398	Hyundai	214000	Diesel	Second Owner	340000
399	Maruti	50000	Petrol	First Owner	240000
400	Honda	1000	Petrol	First Owner	1085000
401	Maruti	19000	Diesel	First Owner	750000
402	Tata	265000	Diesel	Second Owner	95000
403	Maruti	35000	CNG	First Owner	409999
404	Maruti	80000	Petrol	Second Owner	215000
405	Mahindra	50000	Diesel	First Owner	1290000
406	Maruti	80000	Petrol	First Owner	150000
407	Hyundai	50000	Petrol	Second Owner	219000
408	Tata	100000	Petrol	First Owner	325000
409	Maruti	120000	Petrol	Second Owner	260000
410	Jaguar	9000	Diesel	First Owner	2625000
411	Lexus	20000	Petrol	First Owner	5150000
412	Jaguar	45000	Diesel	First Owner	3200000
413	Tata	110000	Diesel	First Owner	503000
414	Volvo	20000	Diesel	First Owner	3800000
415	Toyota	68089	Petrol	First Owner	2000000
416	Maruti	58343	Petrol	First Owner	225000
417	Maruti	38817	Diesel	First Owner	740000
418	Honda	56494	Petrol	First Owner	550000
419	Toyota	79328	Diesel	Second Owner	750000
420	Maruti	5621	Petrol	First Owner	650000
421	Toyota	25538	Petrol	First Owner	625000
422	Maruti	69779	Petrol	First Owner	600000
423	Hyundai	56290	Diesel	First Owner	450000
424	BMW	7500	Diesel	First Owner	5400000
425	BMW	8500	Diesel	First Owner	5500000
426	Honda	7032	Petrol	First Owner	779000
427	Skoda	11000	Petrol	First Owner	645000
428	Volvo	2000	Diesel	First Owner	2475000
429	Honda	40000	Diesel	First Owner	700000
430	Hyundai	45000	Diesel	First Owner	950000
431	Maruti	80000	Petrol	Second Owner	160000
432	Hyundai	135000	Diesel	Second Owner	409999
433	Toyota	120000	Diesel	Second Owner	840000
434	Toyota	67000	Diesel	First Owner	450000
435	Maruti	50000	Diesel	First Owner	900000
436	Toyota	134000	Diesel	Second Owner	570000
437	Nissan	110000	Diesel	Second Owner	254999
438	Maruti	40000	Petrol	First Owner	130000
439	Maruti	120000	Diesel	Second Owner	530000
440	Volkswagen	110000	Diesel	Second Owner	520000
441	Mahindra	170000	Diesel	Second Owner	229999
442	Maruti	80000	Petrol	Second Owner	81000
443	Maruti	47000	Diesel	First Owner	600000
444	Hyundai	93000	Petrol	First Owner	409999
445	Maruti	70000	Petrol	Second Owner	120000
446	Maruti	50000	Petrol	First Owner	320000
447	Ford	70000	Diesel	First Owner	292000
448	Tata	80000	Diesel	First Owner	390000
449	Ford	44000	Petrol	First Owner	550000
450	Maruti	25000	Petrol	First Owner	385000
451	Hyundai	25000	Petrol	First Owner	800000
452	Maruti	10000	Petrol	First Owner	675000
453	Tata	50000	Diesel	First Owner	1525000
454	Ford	30000	Diesel	First Owner	950000
455	Hyundai	50000	Diesel	Second Owner	610000
456	Hyundai	120000	Diesel	First Owner	525000
457	Honda	40000	Diesel	First Owner	700000
458	Mahindra	80000	Diesel	First Owner	375000
459	Nissan	90000	Diesel	First Owner	580000
460	Maruti	50000	Petrol	Second Owner	434999
461	Datsun	2136	Petrol	First Owner	350000
462	Toyota	250000	Diesel	First Owner	730000
463	Hyundai	35000	Petrol	First Owner	600000
464	Toyota	120000	Diesel	First Owner	1050000
465	Maruti	70000	Diesel	First Owner	735000
466	Renault	18000	Diesel	First Owner	1050000
467	Chevrolet	110000	Diesel	Second Owner	420000
468	Maruti	60000	Diesel	First Owner	800000
469	Toyota	60000	Diesel	First Owner	2000000
470	Maruti	147000	Diesel	Second Owner	600000
471	Toyota	130000	Diesel	First Owner	1900000
472	Chevrolet	99500	Diesel	Third Owner	500000
473	Tata	110000	Diesel	Second Owner	200000
474	Nissan	35000	Petrol	First Owner	370000
475	Hyundai	110000	Diesel	Second Owner	260000
476	Mahindra	100000	Diesel	First Owner	280000
477	Maruti	21000	Petrol	First Owner	610000
478	Ford	60000	Diesel	Second Owner	300000
479	Tata	40000	Diesel	First Owner	!40000
480	Hyundai	50000	Petrol	First Owner	229999
481	Maruti	65000	Petrol	Second Owner	200000
482	Maruti	80000	Petrol	First Owner	200000
483	Hyundai	119000	Diesel	First Owner	560000
484	Maruti	80000	Diesel	First Owner	750000
485	Maruti	90000	Diesel	First Owner	585000
486	Hyundai	20000	Petrol	First Owner	760000
487	Maruti	80000	Diesel	Second Owner	430000
488	Mahindra	44665	Diesel	First Owner	480000
489	Kia	10000	Diesel	First Owner	643000
490	Hyundai	60000	Petrol	First Owner	500000
491	Honda	22000	Petrol	First Owner	425000
492	Maruti	25000	Petrol	First Owner	250000
493	Maruti	70000	Diesel	First Owner	285000
494	Maruti	123000	Petrol	Third Owner	160000
495	Volkswagen	70000	Diesel	Second Owner	250000
496	Chevrolet	70000	Petrol	Second Owner	70000
497	Toyota	45000	Diesel	First Owner	409999
498	Hyundai	40000	Petrol	First Owner	400000
499	Maruti	30000	Diesel	First Owner	700000
500	Honda	90000	Petrol	First Owner	350000
501	Maruti	34000	Petrol	Second Owner	660000
502	Maruti	25000	Petrol	First Owner	268000
503	Maruti	50O00	Petrol	First Owner	270000
504	Chevrolet	50000	Diesel	First Owner	300000
505	Tata	90000	Petrol	First Owner	450000
506	Chevrolet	70000	Diesel	Second Owner	220000
507	Tata	146000	Diesel	Second Owner	250000
508	Ford	85000	Petrol	Second Owner	300000
509	Tata	201850	Diesel	Second Owner	88000
510	Maruti	30000	Diesel	First Owner	561000
511	Maruti	15000	Diesel	First Owner	755000
512	Datsun	25000	Petrol	First Owner	235000
513	Maruti	90000	Petrol	First Owner	165000
514	Maruti	80000	Diesel	Second Owner	190000
515	Tata	50000	Diesel	First Owner	110000
516	Mahindra	80000	Diesel	Second Owner	320000
517	Maruti	110000	Diesel	Second Owner	330000
518	Hyundai	38000	Petrol	First Owner	540000
519	Hyundai	60000	Petrol	First Owner	180000
520	Maruti	100000	Petrol	Third Owner	270000
521	Maruti	30000	Petrol	First Owner	450000
522	Maruti	30000	Petrol	First Owner	450000
523	Chevrolet	50000	Petrol	First Owner	200000
524	Tata	42000	Petrol	First Owner	425000
525	Chevrolet	30000	Petrol	First Owner	400000
526	Maruti	60000	Petrol	Third Owner	125000
527	Jeep	14000	Diesel	First Owner	1600000
528	Honda	22000	Petrol	First Owner	900000
529	Volkswagen	90000	Diesel	First Owner	450000
530	Maruti	46000	Petrol	First Owner	210000
531	Hyundai	20000	Petrol	First Owner	801000
532	Tata	15000	Diesel	First Owner	317000
533	Maruti	40000	Petrol	Second Owner	600000
534	Hyundai	30000	Petrol	Second Owner	330000
535	Hyundai	15000	Petrol	Second Owner	320000
536	Maruti	50000	Petrol	First Owner	160000
537	Hyundai	110000	Petrol	Second Owner	120000
538	Maruti	70000	Petrol	Second Owner	130000
539	Chevrolet	80000	Petrol	First Owner	220000
540	Maruti	50000	Diesel	Third Owner	229999
541	Tata	110000	Petrol	First Owner	340000
542	Ford	70000	Diesel	Second Owner	200000
543	Maruti	50000	Petrol	Second Owner	140000
544	Toyota	190000	Diesel	First Owner	1000000
545	Mahindra	100000	Diesel	Second Owner	495000
546	Maruti	60000	Petrol	First Owner	236000
547	Maruti	40000	Petrol	First Owner	390000
548	Maruti	90000	Diesel	Second Owner	275000
549	Tata	110000	Diesel	First Owner	503000
550	Maruti	32000	Diesel	First Owner	775000
551	Toyota	30000	Diesel	First Owner	1800000
552	Hyundai	58000	Diesel	First Owner	850000
553	Maruti	5000	Diesel	First Owner	750000
554	Hyundai	25000	Petrol	First Owner	570000
555	Hyundai	32000	Petrol	First Owner	580000
556	Honda	30000	Petrol	First Owner	484999
557	Honda	43000	Petrol	First Owner	700000
558	Hyundai	60000	Petrol	First Owner	415000
559	Nissan	50000	Petrol	First Owner	325000
560	Ford	14200	Petrol	First Owner	550000
561	Hyundai	10000	Petrol	First Owner	300000
562	Datsun	25000	Petrol	First Owner	217000
563	Ford	19100	Petrol	First Owner	700000
564	Hyundai	25000	Petrol	Fourth & Above Owner	466000
565	Ford	54000	Diesel	First Owner	484999
566	Nissan	35000	Diesel	First Owner	670000
567	Hyundai	20000	Petrol	Second Owner	500000
568	Maruti	52000	Diesel	First Owner	675000
569	Hyundai	120000	Diesel	Second Owner	220000
570	Jeep	50000	Diesel	First Owner	1650000
571	Maruti	120000	Diesel	Second Owner	630000
572	Tata	90000	Diesel	Second Owner	250000
573	Maruti	120000	Petrol	Third Owner	120000
574	Skoda	101500	Diesel	Second Owner	300000
575	Hyundai	75000	Diesel	First Owner	525000
576	Maruti	97500	Petrol	First Owner	204999
577	Maruti	97500	Petrol	First Owner	204999
578	Mahindra	100000	Diesel	First Owner	1100000
579	Renault	55735	Diesel	Second Owner	480000
580	Mahindra	80000	Diesel	Second Owner	605000
581	Maruti	50000	Petrol	Second Owner	250000
582	Ford	70000	Diesel	Second Owner	245000
583	Hyundai	76000	Petrol	Fourth & Above Owner	210000
584	Maruti	1500	Petrol	First Owner	730000
585	Mahindra	76000	Diesel	First Owner	500000
586	Maruti	40000	Petrol	First Owner	400000
587	Hyundai	60000	Petrol	Second Owner	280000
588	Toyota	170000	Diesel	Third Owner	561000
